Item,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6
Item 1,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 2,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 3,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 4,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 5,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 6,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 7,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 8,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 9,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 10,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 11,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 12,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 13,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 14,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 15,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 16,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 17,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 18,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 19,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
Item 20,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6
